Model,Precision,Recall,F1-score,Accuracy,Train time (s),Pred time (s),Predicted Normal,Predicted Anomaly
RandomForest,0.69,0.392,0.5,0.828,4.492,0.527,105057,14943
LogisticRegression,0.317,0.861,0.463,0.562,0.599,0.002,48439,71561
