Model,Precision,Recall,F1-score,Accuracy,Train time (s),Pred time (s),Predicted Normal,Predicted Anomaly
XGBoost,0.696,0.381,0.492,0.828,0.468,0.045,132039,17961
MLP,0.701,0.358,0.474,0.826,91.537,0.078,133227,16773
