Model,Precision,Recall,F1-score,Accuracy,Train time (s),Pred time (s),Predicted Normal,Predicted Anomaly
RandomForest,0.7,0.397,0.507,0.83,3.12,0.36,65670,9330
LogisticRegression,0.318,0.863,0.465,0.563,0.418,0.002,30314,44686
