Model,Precision,Recall,F1-score,Accuracy,Train time (s),Pred time (s),Predicted Normal,Predicted Anomaly
XGBoost,0.7,0.397,0.507,0.83,0.804,0.046,65673,9327
MLP,0.714,0.372,0.489,0.83,17.005,0.021,66440,8560
