Model,Precision,Recall,F1-score,Accuracy,Train time (s),Pred time (s),Predicted Normal,Predicted Anomaly
RandomForest,0.694,0.392,0.501,0.829,3.147,0.392,78848,11152
LogisticRegression,0.317,0.863,0.464,0.563,0.423,0.001,36296,53704
